ISO3,Country / Territory,Year,Disaster Internal Displacements (Raw),Hazard Type
IDN,Indonesia,2018,40,Storm
IDN,Indonesia,2018,52,Storm
IDN,Indonesia,2018,1758,Flood
IDN,Indonesia,2018,4,Flood
PHL,Philippines,2018,4,Earthquake
IDN,Indonesia,2018,445343,Earthquake
IDN,Indonesia,2018,820,Flood
IDN,Indonesia,2018,25,Storm
IDN,Indonesia,2018,60,Storm
IDN,Indonesia,2018,56,Storm
IDN,Indonesia,2018,28,Storm
IDN,Indonesia,2018,247900,Earthquake
PHL,Philippines,2018,7358,Mass Movement
IDN,Indonesia,2018,42,Flood
IDN,Indonesia,2018,170,Flood
IDN,Indonesia,2018,740,Earthquake
IDN,Indonesia,2018,833,Flood
PHL,Philippines,2018,13925,Flood
VNM,Vietnam,2018,108,Flood
IDN,Indonesia,2018,2500,Flood
IDN,Indonesia,2018,297,Flood
IDN,Indonesia,2018,10646,Earthquake
IDN,Indonesia,2018,2000,Flood
IDN,Indonesia,2018,300,Flood
IDN,Indonesia,2018,100,Flood
IDN,Indonesia,2018,74,Flood
IDN,Indonesia,2018,10,Flood
VNM,Vietnam,2018,2000,Storm
IDN,Indonesia,2018,74,Flood
IDN,Indonesia,2018,11,Flood
IDN,Indonesia,2018,2,Mass Movement
IDN,Indonesia,2018,427,Flood
IDN,Indonesia,2018,244,Flood
IDN,Indonesia,2018,236,Flood
VNM,Vietnam,2018,22885,Flood
IDN,Indonesia,2018,64,Mass Movement
IDN,Indonesia,2018,2960,Storm
IDN,Indonesia,2018,46646,Volcanic activity
VNM,Vietnam,2018,2982,Flood
VNM,Vietnam,2018,6354,Storm
PHL,Philippines,2018,32309,Storm
VNM,Vietnam,2018,100000,Storm
PHL,Philippines,2018,183503,Storm
PHL,Philippines,2018,1570804,Storm
PHL,Philippines,2018,169,Wave action
PHL,Philippines,2018,438691,Storm
PHL,Philippines,2018,97688,Storm
PHL,Philippines,2018,902312,Storm
VNM,Vietnam,2018,3852,Storm
IDN,Indonesia,2019,4,Mass Movement
IDN,Indonesia,2019,7,Mass Movement
IDN,Indonesia,2019,4,Mass Movement
IDN,Indonesia,2019,177,Storm
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,22,Storm
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,4,Mass Movement
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,7,Mass Movement
IDN,Indonesia,2019,4,Mass Movement
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,14,Storm
IDN,Indonesia,2019,116,Storm
IDN,Indonesia,2019,25,Storm
IDN,Indonesia,2019,4,Mass Movement
IDN,Indonesia,2019,11,Storm
IDN,Indonesia,2019,158,Flood
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,18,Storm
IDN,Indonesia,2019,14,Mass Movement
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,7,Mass Movement
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,914,Flood
IDN,Indonesia,2019,4,Wildfire
IDN,Indonesia,2019,13,Mass Movement
IDN,Indonesia,2019,11,Flood
IDN,Indonesia,2019,4,Mass Movement
IDN,Indonesia,2019,4,Storm
PHL,Philippines,2019,830,Storm
IDN,Indonesia,2019,4,Storm
IDN,Indonesia,2019,30,Flood
PHL,Philippines,2019,120,Storm
IDN,Indonesia,2019,7,Mass Movement
IDN,Indonesia,2019,4,Wildfire
IDN,Indonesia,2019,7,Storm
VNM,Vietnam,2019,18,Storm
IDN,Indonesia,2019,4,Mass Movement
IDN,Indonesia,2019,18,Storm
IDN,Indonesia,2019,14,Storm
IDN,Indonesia,2019,5,Storm
IDN,Indonesia,2019,4,Flood
IDN,Indonesia,2019,40,Storm
IDN,Indonesia,2019,7,Flood
IDN,Indonesia,2019,4,Flood
IDN,Indonesia,2019,4,Storm
